Employee ID,Risk Score,Primary Risk Factors,Managerial Advice
00-48642865,53.1%,Salary vs. Education Average | Department Sales | Performance Rating,Review salary compared to their degree and department avg.
00-67459379,52.9%,Base Salary | Department Operations | Department Sales,Review base salary against market benchmarks.
00-80174055,52.9%,Gender Male | Department Sales | Education Level,Schedule a 1-on-1 stay interview.
00-42781920,52.9%,State New York | Age | Salary vs. Education Average,Schedule a 1-on-1 stay interview.
00-35805259,52.9%,Education Level | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-20929927,52.8%,Salary vs. Education Average | Department Sales | Department Operations,Review salary compared to their degree and department avg.
00-99490304,52.5%,Tenure (Years) | Tenure-to-Age Ratio | Department It,Discuss long-term retention plans and loyalty benefits.
00-45835371,52.3%,Tenure-to-Age Ratio | Tenure (Years) | Performance Rating,"Discuss career progression path; Identify if they feel ""stuck""."
00-29109045,52.3%,Education Level | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-74818030,52.3%,Base Salary | Department It | Department Sales,Review base salary against market benchmarks.
00-65725133,52.3%,Salary vs. Education Average | Age | Department Sales,Review salary compared to their degree and department avg.
00-81042742,52.1%,Gender Male | Department Sales | Department Operations,Schedule a 1-on-1 stay interview.
00-95621026,52.1%,Department Sales | Education Level | Gender Male,Schedule a 1-on-1 stay interview.
00-59510172,51.9%,Education Level | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-92631573,51.9%,Education Level | Gender Male | Salary vs. Education Average,Schedule a 1-on-1 stay interview.
00-69205536,51.7%,Salary-to-Age Ratio | Base Salary | Department Operations,Check if salary aligns with age and experience level.
00-25932563,51.6%,Department Sales | Overtime History | Salary vs. Education Average,Schedule a 1-on-1 stay interview.
00-25821079,51.6%,Base Salary | State New York | Department Operations,Review base salary against market benchmarks.
00-70128082,51.5%,Base Salary | Age | Department Sales,Review base salary against market benchmarks.
00-60028002,51.4%,Department Operations | Department Sales | Department It,Schedule a 1-on-1 stay interview.
00-52698007,51.4%,Education Level | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-74259620,51.3%,Salary vs. Education Average | Base Salary | Department Operations,Review salary compared to their degree and department avg.
00-44635469,51.2%,Base Salary | Department Operations | Department Sales,Review base salary against market benchmarks.
00-82468141,50.9%,Salary-to-Age Ratio | Department Operations | Department Sales,Check if salary aligns with age and experience level.
00-73516094,50.8%,Salary vs. Education Average | Gender Male | Department Sales,Review salary compared to their degree and department avg.
00-56011239,50.7%,Education Level | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-65141186,50.7%,Education Level | Department Sales | Department Operations,Schedule a 1-on-1 stay interview.
00-52017078,50.6%,Education Level | Tenure (Years) | Department Sales,Schedule a 1-on-1 stay interview.
00-86299853,50.6%,Education Level | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-34213769,50.5%,Salary vs. Education Average | Age | Department Sales,Review salary compared to their degree and department avg.
00-47636112,50.5%,Salary vs. Education Average | Department Sales | Department Operations,Review salary compared to their degree and department avg.
00-94336613,50.3%,Education Level | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-34753345,50.3%,Base Salary | State New York | State Michigan,Review base salary against market benchmarks.
00-26398778,50.3%,Salary vs. Education Average | Age | Gender Male,Review salary compared to their degree and department avg.
00-72024691,50.2%,State New York | Salary vs. Education Average | State Michigan,Schedule a 1-on-1 stay interview.
00-86434517,50.2%,State New York | Salary vs. Education Average | Department Operations,Schedule a 1-on-1 stay interview.
00-33946564,50.1%,Department Operations | Tenure-to-Age Ratio | Department Sales,Schedule a 1-on-1 stay interview.
00-90969675,50.0%,Base Salary | Department Operations | Department Sales,Review base salary against market benchmarks.
00-35006323,50.0%,Salary vs. Education Average | Gender Male | Department Sales,Review salary compared to their degree and department avg.
